Time;X;Y;Z;Vx;Vy;Vz;Ax;Ay;Az;Jx;Jy;Jz
0.648000;0.099629;0.099487;0.000000;0.018073;0.024896;0.000000;-0.559888;-0.765553;0.000000;6.927720;9.170649;0.000000
0.656000;0.099756;0.099662;0.000000;0.013822;0.019075;0.000000;-0.501855;-0.688315;0.000000;7.583505;10.143092;0.000000
0.664000;0.099851;0.099794;0.000000;0.010057;0.013903;0.000000;-0.438507;-0.603194;0.000000;8.256141;11.141602;0.000000
0.672000;0.099918;0.099887;0.000000;0.006821;0.009445;0.000000;-0.369711;-0.509980;0.000000;8.945628;12.166178;0.000000
0.680000;0.099962;0.099947;0.000000;0.004157;0.005766;0.000000;-0.295332;-0.408465;0.000000;9.651966;13.216821;0.000000
0.688000;0.099986;0.099981;0.000000;0.002111;0.002933;0.000000;-0.215235;-0.298441;0.000000;10.375154;14.293531;0.000000
0.696000;0.099997;0.099996;0.000000;0.000729;0.001014;0.000000;-0.129285;-0.179699;0.000000;11.115194;15.396308;0.000000
0.704000;0.100000;0.100000;0.000000;0.000058;0.000081;0.000000;-0.037347;-0.052031;0.000000;11.872084;16.525152;0.000000
0.712000;0.100000;0.100000;0.000000;0.000058;0.000081;0.000000;0.000000;0.000000;0.000000;2.999475;-0.000730;0.000000
0.720000;0.100001;0.100001;0.000000;0.000153;0.000081;0.000000;0.023709;-0.000006;0.000000;2.927774;-0.000714;0.000000
0.728000;0.100003;0.100001;0.000000;0.000436;0.000081;0.000000;0.046846;-0.000011;0.000000;2.856649;-0.000699;0.000000
0.736000;0.100008;0.100002;0.000000;0.000901;0.000081;0.000000;0.069417;-0.000017;0.000000;2.786100;-0.000684;0.000000
0.744000;0.100018;0.100003;0.000000;0.001545;0.000081;0.000000;0.091425;-0.000022;0.000000;2.716127;-0.000669;0.000000
0.752000;0.100033;0.100003;0.000000;0.002363;0.000081;0.000000;0.112876;-0.000028;0.000000;2.646730;-0.000654;0.000000
0.760000;0.100056;0.100004;0.000000;0.003350;0.000080;0.000000;0.133774;-0.000033;0.000000;2.577909;-0.000639;0.000000
0.768000;0.100087;0.100004;0.000000;0.004502;0.000080;0.000000;0.154124;-0.000038;0.000000;2.509663;-0.000624;0.000000
0.776000;0.100129;0.100005;0.000000;0.005814;0.000080;0.000000;0.173930;-0.000043;0.000000;2.441994;-0.000609;0.000000
0.784000;0.100181;0.100006;0.000000;0.007283;0.000079;0.000000;0.193198;-0.000048;0.000000;2.374900;-0.000595;0.000000
0.792000;0.100245;0.100006;0.000000;0.008904;0.000079;0.000000;0.211930;-0.000052;0.000000;2.308383;-0.000580;0.000000
0.800000;0.100324;0.100007;0.000000;0.010673;0.000079;0.000000;0.230133;-0.000057;0.000000;2.242441;-0.000566;0.000000
0.808000;0.100417;0.100008;0.000000;0.012585;0.000078;0.000000;0.247811;-0.000061;0.000000;2.177075;-0.000552;0.000000
0.816000;0.100525;0.100008;0.000000;0.014636;0.000078;0.000000;0.264968;-0.000066;0.000000;2.112286;-0.000537;0.000000
0.824000;0.100651;0.100009;0.000000;0.016823;0.000077;0.000000;0.281609;-0.000070;0.000000;2.048072;-0.000523;0.000000
0.832000;0.100795;0.100009;0.000000;0.019141;0.000076;0.000000;0.297739;-0.000074;0.000000;1.984434;-0.000510;0.000000
0.840000;0.100958;0.100010;0.000000;0.021585;0.000076;0.000000;0.313362;-0.000078;0.000000;1.921372;-0.000496;0.000000
0.848000;0.101141;0.100011;0.000000;0.024153;0.000075;0.000000;0.328482;-0.000082;0.000000;1.858885;-0.000482;0.000000
0.856000;0.101344;0.100011;0.000000;0.026840;0.000075;0.000000;0.343105;-0.000086;0.000000;1.796975;-0.000469;0.000000
0.864000;0.101570;0.100012;0.000000;0.029641;0.000074;0.000000;0.357235;-0.000090;0.000000;1.735641;-0.000455;0.000000
0.872000;0.101819;0.100012;0.000000;0.032554;0.000073;0.000000;0.370877;-0.000093;0.000000;1.674882;-0.000442;0.000000
0.880000;0.102091;0.100013;0.000000;0.035574;0.000072;0.000000;0.384035;-0.000097;0.000000;1.614700;-0.000429;0.000000
0.888000;0.102389;0.100014;0.000000;0.038697;0.000072;0.000000;0.396714;-0.000100;0.000000;1.555093;-0.000416;0.000000
0.896000;0.102711;0.100014;0.000000;0.041920;0.000071;0.000000;0.408918;-0.000103;0.000000;1.496063;-0.000403;0.000000
0.904000;0.103059;0.100015;0.000000;0.045239;0.000070;0.000000;0.420652;-0.000106;0.000000;1.437608;-0.000390;0.000000
0.912000;0.103435;0.100015;0.000000;0.048650;0.000069;0.000000;0.431921;-0.000110;0.000000;1.379729;-0.000377;0.000000
0.920000;0.103838;0.100016;0.000000;0.052148;0.000068;0.000000;0.442729;-0.000112;0.000000;1.322426;-0.000365;0.000000
0.928000;0.104270;0.100016;0.000000;0.055732;0.000067;0.000000;0.453082;-0.000115;0.000000;1.265699;-0.000352;0.000000
0.936000;0.104730;0.100017;0.000000;0.059397;0.000066;0.000000;0.462982;-0.000118;0.000000;1.209548;-0.000340;0.000000
0.944000;0.105220;0.100017;0.000000;0.063139;0.000065;0.000000;0.472436;-0.000121;0.000000;1.153973;-0.000328;0.000000
0.952000;0.105740;0.100018;0.000000;0.066954;0.000064;0.000000;0.481447;-0.000123;0.000000;1.098973;-0.000315;0.000000
0.960000;0.106292;0.100018;0.000000;0.070841;0.000063;0.000000;0.490021;-0.000126;0.000000;1.044550;-0.000303;0.000000
0.968000;0.106874;0.100019;0.000000;0.074794;0.000062;0.000000;0.498162;-0.000128;0.000000;0.990703;-0.000292;0.000000
0.976000;0.107488;0.100019;0.000000;0.078810;0.000061;0.000000;0.505874;-0.000130;0.000000;0.937431;-0.000280;0.000000
0.984000;0.108135;0.100020;0.000000;0.082886;0.000060;0.000000;0.513162;-0.000133;0.000000;0.884736;-0.000268;0.000000
0.992000;0.108815;0.100020;0.000000;0.087019;0.000059;0.000000;0.520031;-0.000135;0.000000;0.832616;-0.000257;0.000000
1.000000;0.109528;0.100021;0.000000;0.091206;0.000058;0.000000;0.526485;-0.000137;0.000000;0.781072;-0.000245;0.000000
1.008000;0.110274;0.100021;0.000000;0.095442;0.000057;0.000000;0.532530;-0.000139;0.000000;0.730104;-0.000234;0.000000
1.016000;0.111055;0.100022;0.000000;0.099725;0.000056;0.000000;0.538169;-0.000141;0.000000;0.679712;-0.000223;0.000000
1.024000;0.111870;0.100022;0.000000;0.104052;0.000055;0.000000;0.543407;-0.000142;0.000000;0.629896;-0.000212;0.000000
